id,tamil,english
267, Indiaka hi nahi world kabhi Record brock hone wala h Like karo jo jo aisa chahta h',In hindi hi nahi world kapsi record brak kone live h like karo jo jo aisa sahata ha'
268, Wonderful movie akshay Kumar fans like here',Wonderful Mowaye Akshay Kumar Pals Like Tere'
269,  akshay kumar fans hit like',Akshay Kumar Pals Hit Like'
270, Ye kya raita bana diya bhai  isse achha animation movie bana dete',A kiya raita pana dia b issa achha animation mowaye pana date'
271, Rajini ah vida akshay mass ah irukane',Akshay is more ah than Rajini ah'
272, Sankar sir padam trailer mathiri illama irunthaa sari',"Shankar Sir, the movie is not like the trailer'"
273, Vfx ah paaaru daa  SUPERSTAR',VS ah baru da superstar'
274," Antha kaalaththu Taiwan video games maathiri irukku kodumai', ""It's like the Taiwanese video games of that time""",
275, Last Battle feels like Power Rangers SPD',Power Rangers spit like beans in the last bottle'
276, Crt time la vidama yenya ippadi panringa',Why are you doing this without putting the shirt on?'
277, Semmaa maasss  Shankar proud of tamil ',Semma Masses Shankar Proud OP Tamil'
278," Troll Pananlam nu vantha Contente Kidaikalaye paaa  Awesome By Today Trending Team', ""Can't find content from Trolla pannalam awesome today trending team""",
279, Kanna Rajini rage Innum paakalayeIPpo paarunga',"Kanna Rajini Raj, watch Baakalai'"
280, Vera levellllllllllllll all the best shankar sir ur a legend',Vera levelllllllllllll all the best shankar sir ur a legend'
281, Silirkavachutinga thalaiva  Vera level thalaiva great job Sankar sir ',"You are thrilled, leader, another level leader, great soap Shankar sir'"
282," Woowww  Teaserah pathutu katharana hatersku elaruku RIP', ""Wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwdddddddd've been a rip off for the hotters""",
283, Indian tamil film next level poga podhu',Indian Tamil film nest level to go public'
284, Thalapathy vijay fans here hit like nanba nanbigal',Thalapathy Vijay Pals Tere Hit Like Nanda Nandimbali'
285, Teaser pakumbodhu mokkaiya iruku nenachu trailer vera level',"When you watch the teaser, you feel like the trailer is on a different level'"
286, Namma tamil cinema vooda getha kattanum',Our tamil cinema vuutu ketta fare too'
287," Comments pakka vandha nanba nanbi gal like pannitu pooga   Trailar supper', ""Friends who came to the comments page should like the trailer, it's super""",
288, Pride of Indian Cinema Superstar Rajinikanth🤘',Pride of Indian Cinema Superstar Rajinikanth🤘'
289," Don’t forget to kill the like button 🤩🤩🤩🤩🤩', ""Don't forget to kill the like button 🤩🤩🤩🤩🤩""",
290, wah Bhaii Wahhh Akshay Sir',Wow baee wahah Akshay sir'
291," Super star fans hit like  waiting', ""Superstar Paul's Hit Like Within""",
292, dai romba comedy aa iruku pavam lyca  Kodi ya',"Toy is very comedy, sorry Lisa Cody'"
293, Shankar g Hollywood level padam edukuringa ana logic yenga',Shankar ki hollywood level movie take ana logic enga'
294, Deiennada graphics idhusakthiman maari pesran akshay kumar',Akshay Kumar is talking about Shakthiman instead of looking for graphics'
295, This  is some awesome bgmmmmFeela like world is in real danger',THIS IS SOME AWESOME BAKUMMMABILA LIKE WORLD IS THIS REAL DANGET'
296," Vfx pathi ippo pesungada Hollywood sambranigala', ""Don't talk about VS now, Hollywood leaders""",
297, Tamil cinema is hai fai NOW',Tamil cinema is high boy now'
298, Wow vera level thank u sankar sir',Wow Shankar sir you have reached another level'
299, Super Star fans hit liks Vera Level',Superstar Balls hit leagues is another level'
300, Kya ye movie hindi m aayegi',Kiya A Moaye Hindi M Aayegi'
301, Ithanda nijamana verithanam Vijay fans lam oram po',This is real madness Vijay Pals Lam Oram Po'
302, Kolla massss   Namaku thevaiyanadhu namba dhan adichu vaganum  Vera level thalivaa',Kulla massages is another level head that we need to believe'
303," Vettu kuthu thavirthu vera mathiri story varadha vetrimaaran Ketta vartha illadha varaikum happy', ""Vetrimaran, who has no other story except cut and punch, is happy until he doesn't have the boon he asked for""",
304, Ratho dha sauce Mari irukku mathapadi trailer Vera lvl',The trailer is on a different level'
305, Danush  vetrimaaran  super hit movie',Dhanush Vetimaaran Super Hit Mowaye'
306, kolaveri thoondugira padam edhukku edukaran ivan kasu parthuduvan mathavan vettikittu savanunga Pannadaigal',Why is he making a film that incites murder?'
307, Etho onnu miss aguthu pa etho onnu',Something is missing'
308, THE BEST COMBO IN KOLLYWOOD DHANUSHVETRIMARANGV PRAKASH',The best combo in Kollywood is Dhanush and Prakash'
309, Namma ooru screen LA semaya irukku',Our village is in Suhine'
310, Bgm viswasam movie odathu mathiri iruke  Athula fast uh irukaratha ithula gvp slow panni potrukan',"Bikum Viswasam is like it is not running, it is fast uh, it is slow.'"
311,  Dunkirk music copy adichirukkan GV Prakash',Kiv Prakash has scored the Dunkirk music trophy'
312, Movie booking pananu think panavaga like panuga',Mowaye Booking Pannu Think Panavaga Like Penugai'
313, Looks like superstar thalaivar at ',Luke Like Superstar President Att'
314, Wrong casting manju warrierdanush sirbad casting',Wrong Casting Manju Varierdanush Seerpada Casting'
315, Yov teejay gowtham menon range ku album pannitu indha kamunattinga kita matikitaye da🤣🤣🤣',Yov teejay gowtham menon range ku album pannitu indha kamunattinga kita matikitaye da🤣🤣🤣'
316, Asuran movie vetri pera congratulation to thala fans',Congratulations to Thala Balls for winning Asuran Mowaye'
317, Paraiyanaaagaa piranthathil perumai kolkirann  Enga ananaa Jai kka Evan daa irukkan',I am proud of the birth of Parayanaha'
318, Ootha antha oscar ah yeduthuttu vandhu asuran kaala vaiyungaadaaaa',Blowing that Oscar Ah came and took the monster time'
319, Idhulayum jaadhi ya kondu vandhuteengala da Thu',Please bring caste in this too'
320, Am thalapathy veriyan  Anna asuranuku marana waiting',Ama commander fanatic Anna Asuran was killed'
321, Mirandutan da dei Vera level bgm',Another level of sharing with Mirand'
322, Veralevel performer Dhanush sir',Dhanush sir on Verlevel'
323," konjam fast ah play panuna kaththi theme music mathiri irukuthu indha bgm enaku matum than apdi thonudha ', ""It's like the theme music of Kaththi played a little bit fast. Am I the only one who feels that way?""",
324, Manju looks like Kanmadham character 🤯',Manju looks like Kanmadham character 🤯'
325," Namma kita kaadu iruntha eduthukidu vanunga  Rooba iruntha pudingi kuvanuva  Namma kitta irunthu PADIPPA maatum avangalala eduka mudiyathu chithambaraov', ""They can't take away the forest that we had, the pudding that we had, the money that we had, Chidambara.""",
326, I m waiting for u Thalaiva va sekrama screen la va Thalaiva dhanush',Dhanush is the leader of this war'
327, Nadigar dhanush mass I am waiting',Actor Dhanush Mass e Ama Vidin'
328, Vetrimaarangvdhanush anna vera level combo nu marubadiyum prove pannitanga',Vetrimarangivathanush and Anna have tried another level combo again'
329, SaNa ah Irunthuruntha Vera Level la BGM Irunthurukum',The party must have been on a different level than Sana Ah was'
330, Padippu irutntha evanalyum onnum pudunga mudiyathu mass',"Nothing can catch anyone who has failed in education, Mass'"
331, Ennpa GV Nkp Bgm Manasula Vanthutu pokuthu',The give nuff part comes and goes in the mind'
332, Apo Ennai Nokki Payum thotta 🤔🤔🤔',Apo Ennai Nokki Payum thotta 🤔🤔🤔'
333, National award varanum naa like pannuka',Please like his name on National'
334, M views in min அம்மோவ்',M views in min Ammov'
335, I am waiting mar an sir',E Ama Vidin Mar why sir'
336," Indha cinemaavukkaaha sollala sinna paya makkaa SINDHIYUNGAL Andha oruvandhaanda Seemanadha payan padithikka solraangha puriyudhaathamizha', ""Don't be afraid to think about this movie.""",
337, Elam ok pa   Sneha enga',Elam Ok Pa Seneca Enga'
338, Vetrimaran sir plzz vijay  surya vechi padam pannunga',Vetrimaran sir plz make Vijay surya vechi movie'
339, Ilaiya super star Dhanush mass fli film Asuran coming an meratal in Tamil nadu',Young Superstar Dhanush Mas Bili Film Asuran Coming Anda Meretal In Tamil Nadu'
340, Ennangada ithu viswasam bgm kekuthu 🤔🤔',Ennangada ithu viswasam bgm kekuthu 🤔🤔'
341, Sa Na kita koduthurukalamgv thaan acting la pooitarula    Dear vm pls give sana dhanush combo ',Sana Git Rukkaljiv Tan Asiting La Poitrula Dear Thwam Plus Give Sana Dhanush Combo'
342, Super but K haters mental pu',Super Bud Gay Hatters Mental Bu'
343, Nejamavae sema trailer Dhanushvetrimaaran Kalaiyum kaviyum vivasayathin paguthi  puthumai padappu Asuran',Nejamave Sema trailer is a field of innovation creative monster of agriculture surpassing Danushuvetimaran.'
344, Keel jaadhi mel jaadhi fight asusual',Lower Caste Upper Caste Eight Aszul'
345, Song than nkp la ketta maari irukku',Chong asked in his nuff'
346, Asurathanamaana acting padathula paatha apram varavanga mattum like pannunga pa Vera level verithanam nanpa 🤩🤩🤩',Asurathanamaana acting padathula paatha apram varavanga mattum like pannunga pa Vera level verithanam nanpa 🤩🤩🤩'
347, Trending la vantha mass ah erukum',The trending mass will be ah'
348, DHANUSH vera level performance in ASURAN',Dhanush is another level performance monster'
349, waiting vadachennai  ku next project start pannunga romba aaval la irukku',I am very eager to start the nest project in Vadachennai'
350, Our Lady Super Star  Manju Warrier',Yr Lady Superstar Manju Warrier'
351, Kv anandh sir surya sir fan sangada paduvanganu ninainga Kappan trailer than soona sir',"Give Anand sir, Surya sir, think lice paduvangannu Kappan trailer Dana Soona sir'"
352, Dhanush  Vishal Jayamravi   Lov from kerala',Dhanush Vishal Jayamravi Love Prem Kerala'
353, Dhanushs Swag Just Awseome  Nammaku thevaiyanathu naamatha aaduchu vaanganum ',Dhanush Sivaji Just Awsome is what we need to buy the name'
354, Pwoli pwolii  Dhanush vetrimaaran Manju warrier 🤘',Pwoli pwolii Dhanush vetrimaaran Manju warrier 🤘'
355, Verithanam paaahhhhpolladhavan aadukalam vada Chennai ah vida payangarama iruku BGM paaahhhh',Madness Baahhhhabollathavan playground north chennai is scarier than ah share affection'
356," Vetri anna ungla la matum than enga dhanush anna va vera vera dimetiontionla katta mudiyum realy hats of anna', ""Vetri Anna only you can show where Dhanush Anna and other Dimetiandians rally that's OP Anna""",
357, Dai enada ithu thaarumara irukku Vetrimaran Dhanush once again proved',Dhanush once again proved to be a winner'
358, Aasuran based on novel named vekkai by poomani',Asuran Past One Novel Our Vekkai Paya Bhoomani'
359, Intha kaapan fans Inga vanthu comedy pannitu irukanga 🤦',Intha kaapan fans Inga vanthu comedy pannitu irukanga 🤦'
360, Vetri ne dhanusha pudiche thongitu iru',Victory you Dhanusha Pudiche hang on'
361,  viswasam theme music Mari feel pannuvanga like pannunga  Bgm ratchasan and viswasam rendu collaborate panna Mari iruku',Viswasam Theme Music Mary Peel Like Share Bhagum Rakshasan and Viswasam Two Kollaborde Panna Mari'
362, Idha pathutu road la students kathi vaichi kitu sanda poduvanunga 🤦',Idha pathutu road la students kathi vaichi kitu sanda poduvanunga 🤦'
363, Dai yenna daa padam edhuthu vachu erukinkaaa otha vetrimaran ahaa adichuka ale Ella pooo',Toy enna da film ethuthu vachu sitingar otha vetrimaran ka atichukka al ella pooyo'
364, Who feeled viswasam bgmin between ',Wadho Field Viswasam Begimin Batween'
365, Plssssss intha diwali ku movie a release pannuga naan dhanush anna oda periya paithiyaran fan',plsssssssssssssssssssssssssssssssssssssssssssssssss this Diwali ku mowaye a release I am Dhanush anna ODA big mad.'
366, Padippa Mattum namba kitta irundhu parikka mudiyadhu',Study alone cannot be taken away from us'
367, Compare to kappaan Aduran is winderfull',Camper to Keeper is Winterpity'
368," Dhanush annanuiku national award ready pannuinka', ""Get ready for Dhanush brother's National""",
369, Vera level la irukkey trailer Padam therikkapothu',When you choose a tight trailer movie on another level'
370, nkp theme mathri iruku sngum apdtha iruku',Nuff theme is like Singh movie'
371, అన్నయ్య తెలుగు లో కూడా చేయండి అన్నయ్య మూవీస్ ప్లీజ్ అన్నయ్య',Annayya also make Annayya movies in Telugu please Annayya'
372," Paddipa onnu mattum namba kitta avanuga pudunga mudyathu da chidambaram', ""Chidambaram can't just teach us one thing""",
373, Music Verithanam nu Solravanga Oru Like ah podunga',"Those who say music is crazy, give it a like'"
374, Massss sir semma trailer eppo movie pakka poram',Masses Sir Semma Trailer Epo Mowaye Paka Poram'
375, Bgm kekka nerkonda paarvai bgm maariye irukkeeee',"When Bhikkhu asked, you changed your view'"
376, Vera level trailer padam masssa irukum confirm',Another level trailer is Gangfirm with Massa'
377, GV prakash phhhhh BGM vera level thalaivaaaaaaaaaaa',GV prakash phhhhh BGM vera level thalaivaaaaaaaaaaa'
378, congrats vetri maaran  dhanush',Dhanush is the winner of Kongraths'
379, Subscribers kammiya iruku adhanala views konjam kammiya iruku',Subisuyparis is missing so the views are a little bit different'
380, Sorry bha  Plz konjam yellam othungu  Asuran vanthachi  verithaname intha padam than',"Sari Pa Blj A little bit everything aside, the monster came, this movie is crazy'"
381," Inoru Tirunelveli base movie   vettai nai la ipamachi cinema la kamikurathy nala iruku', ""Another Tirunelveli Base Mowaye is because of Ippamachi Cinema's Kamikuratha.""",
382, Thalaiva    I  am waiting',Leader E Ama Vidin'
383, Thala I am waiting ana dhanush',Thala e ama vidin ana Dhanush'
384," Namakita kadu iruntha eduthupangapanam iruntha pudingipangapadipu matum eduthakve mudiyathudialogue sema', ""We had a lot of hard-earned money and we couldn't afford the Pudingi share education.""",
385, Ilam dhanush colour black vintage kaatuthu yaaru yaaru note panninga',Young Dhanush Kalar Palasak Vindajee Shows Who Takes Note'
386, k likes to go🤙 lifetime record aa k like kondu varanum    Dhanushveriyan',k likes to go🤙 lifetime record aa k like kondu varanum Dhanushveriyan'
387, Dhanush Anna Maas solldravanga like podunga',Like Dhanush Anna Mass for those who say it'
388, Danush VetrimaranGV  Antha award lam eduthu vaingada vanga varanga',Dhanush Vetrimarangv took his lam and came to buy Vaingada'
